Country,HCPI,CCRE,ECPI,FCPI,CLI,RI,CL&RI,GI,RPI,LPPI,Popul,GDP 
Albania,6.7,6.5,14.2,11.2,35.5,8.5,22.8,29.3,25.8,30.2,2877800,11803.431
Algeria,9.3,,2.4,12.7,26.9,4.6,16.4,28.8,14.5,24.6,43851043,13913.839
Argentina,72.4,,51.4,74.6,34.7,7.7,22,28.2,33.3,30.7,45195777,18933.907
Armenia,8.6,8.28,6.3,12.1,33.9,11.6,23.4,27.6,30.5,28.9,2963234,8787.58
Australia,6.6,5.52,15.5,8.2,77.7,36.8,58.6,77.4,73,104.6,25499881,44648.71
Austria,8.5,5.48,39.1,10.7,71,27.1,50.5,65.9,66,77.3,9006400,45436.686
Azerbaijan,13.9,,14,-8.4,29.7,7.9,19.5,26.6,26.7,27.3,10139175,15847.419
Bahrain,3.6,,-0.9,10,54.8,29.2,42.8,44.6,48.9,61.4,1701583,43290.705
Bangladesh,7.7,,4.8,7.4,33.1,4.4,19.7,30.4,21.7,25.3,164689383,3523.984
Barbados,9.4,,8.6,12,92.4,22,59.4,87.8,78.2,32.1,287371,16978.068
Belarus,15.2,16.46,12.7,16.7,30.9,9.8,21,27.2,31.6,31.8,9449321,17167.967
Belgium,9.6,4.56,53,8.8,72.6,25.8,50.7,63.3,78.6,79.7,11589616,42658.576
Belize,6.3,,2.9,6.8,51.3,11.6,32.7,48.8,36.6,45.7,397621,7824.362
Bolivia,1.7,,0.7,1.4,34.8,10.2,23.2,31.3,25,36,11673029,6885.829
Botswana,11.7,,8,10.1,40.2,10.2,26.1,35.2,42.5,62.6,2351625,15807.374
Brazil,9.3,8.76,48.7,11.5,33.2,8.3,21.5,28.2,25.2,27.8,212559409,14103.452
Bulgaria,15.3,,19.6,20.2,38.4,9.1,24.6,34,32.4,46,6948445,18563.307
Cambodia,5.3,,5.7,4.9,49.1,15.7,33.4,50.6,22.9,13.3,16718971,3645.07
Cameroon,6.2,4.32,1.9,12,39.5,6.9,24.2,40.4,26.3,15.4,26545864,3364.926
Canada,6.8,5.06,22.8,9.8,70.2,34.3,53.4,70,67.9,88,37742157,44017.591
Chile,11.6,8.94,20.9,17.7,43.9,13.5,29.7,38.9,43.3,33.3,19116209,22767.037
China,2,0.66,2.1,2.5,41.8,16.5,29.9,46,28.4,60,1439323774,15308.712
Colombia,10.2,6.5,15,25,26.7,8.2,18,23.5,19.4,28.9,50882884,13254.949
Costa Rica,8.3,4.54,,15,47,14.7,31.9,45.5,41.7,39.9,5094114,15524.995
Croatia,10.8,9.14,19.2,14.8,48.9,13.4,32.3,42,41.3,47.5,4105268,22669.797
Cyprus,8.4,,32.1,7.9,59,22.4,41.8,49.2,61.1,57.3,875899,32415.132
Czech Republic,15.1,12.21,30.9,16.7,48.2,18.4,34.3,42.8,36.7,66.5,10708982,32605.906
Denmark,7.7,4.03,41.6,11.5,84.1,33.2,60.3,68.6,98.8,99.5,5792203,46682.515
Dominican Republic,8.8,6.99,10.9,10.6,41.8,9.6,26.7,38.5,34.3,21.1,10847904,14600.861
Ecuador,3.5,,1.6,4.7,37.3,11.3,25.1,34.5,28.6,31.8,17643060,10581.936
El Salvador,7.2,4.88,2.7,11.6,44.4,13.2,29.8,44.3,35.5,21.2,6486201,7292.458
Estonia,19.4,9.71,64.1,19.9,53.7,16.4,36.2,42.3,56.4,63.5,1326539,29481.252
Ethiopia,34,,19.1,36.4,47.5,16.9,33.1,36.7,18,10.1,114963583,1729.927
Fiji,4.5,,4.4,5.8,43.2,17.8,31.3,48.1,37.4,35.9,896444,8702.975
Finland,7.1,4.16,30.7,10.5,73.2,25.9,51,65.2,77.6,91,5540718,40585.721
France,5.2,2.77,23.7,7.3,74.1,25.3,51.3,73.6,71.8,85.4,65273512,38605.671
Georgia,11.9,,17.7,16.8,30.2,9.3,20.4,26.4,27.9,31.1,3989175,9745.079
Germany,6.9,3.93,35,12.6,65.6,27.6,47.8,52.3,60.9,103.1,83783945,45229.245
Ghana,31.3,,46.6,28.8,36.2,19.3,28.3,37.5,30.1,16.8,31072945,4227.63
Greece,9.6,3.34,39.7,11.8,56.2,12.7,35.8,44.7,52.2,39.7,10423056,24574.382
Guatemala,6.9,4.33,4.7,8.7,43.5,15.6,30.4,41.9,32.6,26.4,17915567,7423.808
Honduras,9.1,8.02,4.8,12.5,40.5,10.3,26.3,34.7,28.7,32.1,9904608,4541.795
Hungary,14.6,10.25,15.1,27.8,40.7,11.9,27.2,35.2,32.8,52,9660350,26777.561
Iceland,8.3,7.79,17.4,7.2,94.9,41.9,70.1,90.2,99.4,77.1,341250,46482.958
